ÐÐ,ÕóÈÝ,³É¼¨,ÊÇ·ñ±ß,±£»¤º®Òâ,±£»¤»ðÑæ,±£»¤´óC,±£»¤Ð¡C,±£»¤¶Ôµ¥,±£»¤¾Û¹Ö,±£»¤ÕæÈº,±£»¤Àà»ú,±£»¤ÀàÐÇ,±£»¤¾­Ñé¸¨,±£»¤ÀàºË,º®Òâ,»ðÑæ,Ó²Ç°ÅÅ,Ç°ÅÅ,¹«Ê½Õó,´óC,Ð¡C,¶Ôµ¥,¾Û¹Ö,ÕæÈº,Àà»ú,ÀàÐÇ,¾­Ñé¸¨,Ñø×ì,ÀàºË,ÓÐÎÞ¾Ñ,ÓÐÎÞÂó,ÓÐÎÞ¼á,ÓÐÎÞÀ×,ÓÐÎÞº®,ÓÐÎÞ×ì,ÓÐÎÞË«,ÓÐÎÞÐ¡,ÓÐÎÞÑô,ÓÐÎÞÅç,ÓÐÎÞ÷È,ÓÐÎÞµ¨,ÓÐÎÞ´¨,ÓÐÎÞÎÑ,ÓÐÎÞÈý,ÓÐÎÞ²ø,ÓÐÎÞ»ð,ÓÐÎÞ¸ß,ÓÐÎÞº£,ÓÐÎÞµÆ,ÓÐÎÞÏÉ,ÓÐÎÞÒ¶,ÓÐÎÞÁÑ,ÓÐÎÞÐÇ,ÓÐÎÞ´Å,ÓÐÎÞ¾í,ÓÐÎÞÓñ,ÓÐÎÞËâ,ÓÐÎÞÉ¡,ÓÐÎÞ½ð,ÓÐÎÞ¹Ï,ÓÐÎÞ»ú,ÓÐÎÞÔø,ÓÐÎÞÃ¨,ÓÐÎÞ±ù,ÓÐÎÞÎü,ÓÐÎÞ´Ì,ÓÐÎÞ±¬,ÓÐÎÞÆ®,ÓÐÎÞ·´,ÓÐÎÞÈô,ÓÐÎÞÄÌ,ÓÐÎÞÓÄ,ÓÐÎÞÄæ,ÓÐÎÞÌÙ
2,Ð¡¾ÑÈôÁÑ¾í,85279,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,ÐÇÑôÏÉº®·´,91173,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,3,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,À×½ðÓÄµÆË«,94055,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,1,0,1,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,»ú¹ÏÌÙº®Âó,92898,1,0,0,2,0,0,0,2,1,1,0,0,1,0,0,1,1,2,1,1,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,¾í´ÅÈôµ¨Ò¶,67192,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,µ¨Ã¨À×¾íÓÄ,55719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,Ã¨µ¨±ù´Ì¾Ñ,48745,0,1,0,0,1,0,2,0,1,0,1,1,1,0,0,1,0,0,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
4,ÁÑË«¾Ñº£Ñô,96634,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,1,1,1,2,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ÈýÒ¶Ë«º£É¡,105180,1,0,0,0,2,1,0,1,1,0,1,0,0,0,0,1,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ÁÑÃ¨×ìÆ®Âó,88936,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,Ã¨ÅçÁÑ´¨±ù,105572,0,1,0,1,1,0,1,1,1,1,1,0,2,0,0,1,0,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,¹ÏµÆÉ¡Ð¡Ð¡,87094,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,»úÉ¡Èý»ð¸ß,159335,0,0,2,1,1,0,1,1,1,0,1,0,0,2,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ë«µÆÐ¡ÓñÔø,149996,1,0,0,1,2,1,1,2,2,1,1,0,0,0,1,1,1,1,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,ÎÑº®±ùÅçÂó,61992,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,À×´ÅÈýÆ®´Ì,51155,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3,»úÎüµÆ»úÎü,11240,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
4,ÎÑ´Å±ùÉ¡×ì,10454,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Æ®ÁÑ÷ÈÂó±ù,84717,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,»úÐ¡É¡ÂóµÆ,49237,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,µ¨»úÎü²øÅç,79185,0,0,0,1,1,0,0,0,2,0,1,1,0,0,0,1,1,2,1,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,ÁÑÅçº£ÎÑ×ì,96503,0,0,0,1,2,1,0,2,1,0,0,0,0,0,1,1,1,1,2,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,¾íÑô½ðº£·´,77131,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,1,1,1,2,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,º£ÎüÂó÷Èº®,98252,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,º£Æ®¾íÒ¶É¡,81706,1,0,0,0,2,1,0,1,0,0,0,2,0,0,0,1,1,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,Æ®Åç¸ß¾íÒ¶,57404,0,0,0,1,1,0,1,2,0,0,0,1,0,0,1,1,0,1,2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,ÐÇ²øÅçÐ¡Ë«,88251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,¾í¾ÑÓÄÔøÄæ,91141,0,0,0,1,2,0,1,2,1,1,1,1,0,0,1,1,0,1,2,0,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
5,Îüº£À×µ¨Ã¨,58570,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,Æ®ÄÌ÷ÈÑô×ì,97182,1,0,0,1,2,1,1,3,0,1,0,1,0,0,1,1,1,1,2,1,1,3,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,¾íÂóº®À×ÓÄ,61666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,ÁÑ½ð¹ÏÎÑ´Å,40234,0,0,0,1,2,0,0,2,1,1,0,0,0,0,0,1,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ÓÄÀ×º£±ù´Ì,114268,0,0,0,1,1,1,0,2,1,0,0,0,1,0,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
5,º£ÄÌ²øº£²ø,111018,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,1,1,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Æ®ÄÌ÷ÈÑô×ì,55506,1,0,0,1,2,1,1,3,0,1,0,1,0,0,1,1,1,1,2,1,1,3,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,¾í¼áº®À×ÓÄ,82465,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,1,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,ÁÑ½ð¹ÏÎÑ´Å,112485,0,0,0,1,2,0,0,2,1,1,0,0,0,0,0,1,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ÓÄÀ×º£±ù´Ì,97350,0,0,0,1,1,1,0,2,1,0,0,0,1,0,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
5,º£ÄÌ²øº£²ø,81022,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,1,1,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,ÅçÒ¶Ò¶ÑôÏÉ,96499,1,0,0,2,0,1,0,2,0,1,0,0,0,0,1,1,1,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ÌÙ·´Ëâ´¨·´,20941,0,1,0,0,1,0,1,2,1,0,0,0,1,0,0,1,0,0,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,Ð¡É¡¹Ï´¨Èô,64240,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Ð¡Èý²ø÷ÈÈý,102292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,¾íÂóÀ××ì´Ì,105880,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,¹ÏÅçÂó±ù²ø,59376,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,ÎÑÃ¨ÎüÎÑÁÑ,60307,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,3,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,Ë«¾í¾íÎüÔø,138024,0,0,0,1,3,0,0,2,1,1,2,2,0,0,1,1,0,1,3,0,0,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4,À×¾Ñº£ÂóÑô,91886,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0,2,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ë«½ðÌÙ»ú²ø,140578,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,µ¨´¨ÐÇ·´±¬,77438,1,1,0,0,3,0,1,2,1,2,0,1,1,0,1,1,0,0,3,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,Ã¨²ø±ùµÆ½ð,19296,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,¾íË«É¡´¨¾Ñ,71135,0,1,0,0,2,0,1,1,1,0,0,1,1,0,0,1,0,0,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Æ®Ð¡´Å×ìÈý,105976,0,0,0,0,2,0,0,1,1,1,0,1,0,0,1,1,0,0,3,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,ÑôÉ¡ÎüËâÆ®,20910,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,Ã¨ÌÙº£Ôøµ¨,85187,1,0,0,1,0,1,0,2,0,1,2,0,0,0,1,1,1,1,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,Åç´¨º®÷È¸ß,97787,0,2,0,1,1,1,4,1,0,0,0,0,2,0,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,À×º£ÏÉ÷ÈË«,90720,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ð¡ÏÉÓñ·´Âó,91789,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2½ð±¬ËâÀ×,19750,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,·´ÁÑ´ÌÈýµÆ,67017,1,0,0,0,3,0,1,1,2,0,1,0,0,0,0,1,0,0,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,ÅçµÆ´ÅÂó¾Ñ,162407,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ÎÑÉ¡¹ÏÉ¡±¬,145877,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,ÑôÒ¶É¡Ò¶·´,125421,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,º£ÎÑ´ÌËâÂó,30319,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Ë«¹ÏÒ¶Èô×ì,186443,1,0,0,1,2,0,0,3,1,0,0,0,0,0,1,1,0,1,2,0,0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,´¨¾íµÆº£Ð¡,74218,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ã¨ÈôÅçÑôÈô,85289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
4,»úÉ¡¸ßÀ×ÏÉ,69643,0,0,0,2,0,0,1,1,1,0,0,0,0,0,2,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,·´²øµÆº®´Å,58391,1,1,0,0,2,2,2,1,1,1,0,0,1,0,0,1,1,0,2,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,ÅçÐÇËâ±ùÐ¡,91195,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Ã¨ÎÑÀ×±¬À×,87629,0,0,0,1,1,0,0,3,0,0,1,0,0,0,1,1,0,2,1,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3,Ã¨µ¨µÆº®Ôø,77843,0,1,0,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,ÎÑ¾ÑÒ¶Ð¡Óñ,79815,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,¾í´ÅÎÑÅçÈý,53829,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Æ®²ø±ùÎÑÃ¨,73653,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2,Ã¨É¡Ò¶·´»ú,29538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
3,Åç´¨µ¨×ìÏÉ,31901,0,1,0,1,1,0,1,1,1,0,0,0,1,0,2,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
